candidate,layer,sources,benchmark_results,compute_and_cost,implementation_health,strengths,weaknesses,confidence_status,ledger_lens_applicability,external_evidence_closes_decision,disposition
"Ledger invoice2data/PDFium/Tesseract path","routing/OCR/KIE","docs/PROJECT_START.md; docs/evidence/ledger_lens_benchmark.json","Passed pinned text-PDF and real image-only-PDF gates including fields, line items, provenance and correction order","Local CPU; observed 81.3 ms text and 5881.4 ms scan in one Docker run, not throughput","Implemented and tested at baseline 638bb35; invoice2data 1.0.1 and pypdfium2 5.12.1 pinned","Small auditable stack; configurable schemas; explicit unsupported-template failure","Only two known invoice layouts; confidence is heuristic; no bounding boxes or arbitrary-layout support","established for frozen fixtures","Mandatory control and stable-layout path","yes for the frozen fixtures only","retain core"
"Tesseract OCR","text recognition","https://github.com/tesseract-ocr/tesseract; docs/PROJECT_START.md","Real AWS scan passed locally; broad mature OCR evidence but no Ledger language/acquisition-shift study","CPU; installed native runtime and language packs","v5.5.3; head 64ed93b; pushed 2026-08-03; current training and binary-distribution issues do not block inference seam","Mature CPU baseline; hOCR/data outputs; many languages","Recognition confidence does not equal field correctness; preprocessing and language packs matter","established","Cheap scan control behind text-layer probe","yes as control; no for new scan/language quality","retain core"
"Docling","layout/document parsing","https://github.com/docling-project/docling; https://arxiv.org/abs/2408.09869","Broad parsing/layout/table evidence; Atlas fixture comparison found richer structure but slower PDF path","CPU possible with model downloads; larger RAM/startup surface than current path","v2.118.0; head 9b454c9; pushed 2026-08-03; issue #3936 reports a v2.118 hyphenated-label crash","Maintained unified document model; reading order, tables, OCR and provenance","Large migration surface; current defect; parser output still needs schema KIE","established family; provisional Ledger fit","Structured/varied layouts and shared Atlas parser seam","no","benchmark as routed parser, not wholesale replacement"
"PaddleOCR / PP-Structure / PaddleOCR-VL","OCR/layout/VLM parsing","https://arxiv.org/abs/2507.05595; https://github.com/PaddlePaddle/PaddleOCR","Strong multilingual OCR and document-parsing claims; Ledger-specific transfer unmeasured","CPU/GPU and several runtime/model profiles; VLM route heavier","v3.7.0; head 2661c7c; pushed 2026-07-22; current ROCm, Torch and ONNX compatibility issues","Active end-to-end OCR/layout/table family with deployment choices","Complex version/runtime matrix; broad self-reported results; schema KIE still required","provisional","Primary maintained layout/VLM challenger and shared Atlas candidate","no","controlled challenger"
"LayoutLMv3","layout-aware KIE","https://arxiv.org/abs/2204.08387; https://github.com/microsoft/unilm","Strong established form/receipt/document benchmarks; no current arbitrary-layout Ledger evidence","Training/fine-tuning and OCR boxes required; GPU preferred","unilm head 833df7e; pushed 2026-01-23; model lives in a broad research monorepo","Joint text/image/layout representation; targeted token classification","Requires labelled target data and OCR coordinates; integration is not a parser drop-in","established family; provisional fit","Only if held-out client layouts justify supervised adaptation","no","defer behind parser and VLM comparisons"
"Table Transformer","table detection/structure","https://arxiv.org/abs/2110.00061; https://github.com/microsoft/table-transformer","PubTables-1M/GriTS evidence establishes table structure; not invoice KIE or OCR","Detector models plus separate OCR/text alignment; CPU/GPU profile","v1.0.0; head 16d124f; last push 2024-06-24","Focused, interpretable table detection/structure component","Separate OCR and field mapping; quiet reference repo; narrow responsibility","established family","Line-item challenger only when table structure is the observed failure","yes that table structure is distinct; no for Ledger need","defer until failure activates"
"Donut","OCR-free generative KIE","https://arxiv.org/abs/2111.15664; https://github.com/clovaai/donut","Seminal OCR-free document understanding results; newer VLMs supersede many capability claims","Vision encoder-decoder; GPU preferred; fine-tuning/data for target schemas","head 4cfcf97; last push 2024-07-11; latest release 2022","Avoids OCR error propagation; direct structured generation","Quiet implementation; hallucination/schema validity; old task/model scale","established historical family; weak current implementation","Historical control, not first new integration","yes as family; no as winner","reject implementation; retain taxonomy"
"olmOCR 2","OCR-VLM parsing","https://arxiv.org/abs/2510.19817; https://github.com/allenai/olmocr","Reported strong document transcription/reading-order evidence; extraction correctness remains separate","README local path is based on a 7B VLM and specifies at least 12 GB GPU memory","v0.4.27; head f7cfe4c; pushed 2026-03-25","Current reproducible VLM OCR pipeline and benchmark artifacts","Outside current CPU host; produces document text, not Ledger schema values","provisional","GPU parser challenger if remote/hosted compute is authorized","yes on host incompatibility; no on future value","exclude from CPU benchmark"
"MinerU","document parsing/VLM","https://github.com/opendatalab/MinerU; https://arxiv.org/abs/2409.18839","Competitive broad PDF parsing claims; local invoice transfer unmeasured","CPU/GPU pipeline modes plus heavier VLM mode","v3.4.4; head 79d6d8d; pushed 2026-07-30","Active parser with pipeline and VLM choices; tables/formulas/layout","Broad dependency and output-model surface; schema mapping remains custom","provisional","Potential parser challenger if Docling/Paddle fail predeclared cases","no","audit only; do not integrate first"
"Surya","OCR/layout/table recognition","https://github.com/datalab-to/surya","Public benchmark claims across OCR/layout/reading order; Ledger fixtures unmeasured","Local model inference, normally accelerator-favored","v0.22.1; head f2c45da; pushed 2026-07-23; current vLLM/grammar/reproduction issues","Focused modular OCR/layout interfaces and active maintenance","Runtime/model integration plus schema mapping; current issue surface","provisional","Secondary challenger, not parallel integration","no","defer unless primary challenger fails"
